Date,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Loan A: Principal Balance,Loan A: Interest,Loan B: Principal Balance,Loan B: Interest,Loan C: Principal Balance,Loan C: Interest,Loan D: Principal Balance,Loan D: Interest,Loan E: Principal Balance,Loan E: Interest,Tax Debt: Principal Balance,Tax Debt: Interest,Memo
2023-04-30,2023-04-30 00:00:00,4014.0299999999997,4140.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-05-01,2023-05-01 00:00:00,1796.0299999999997,4433.59,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,2034 33rd ave rent ($1918.0) ; 2034 33rd ave utilities ($300.0) ; phone bill ($163.09) ; gas and bus ($100.0) ; food ($30.0) ; 
2023-05-02,2023-05-02 00:00:00,1796.0299999999997,4463.59,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-03,2023-05-03 00:00:00,1535.4599999999998,0.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; Credit cc min payment ($260.57361000000003) ; 
2023-05-04,2023-05-04 00:00:00,1535.4599999999998,30.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-05,2023-05-05 00:00:00,1535.4599999999998,60.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-06,2023-05-06 00:00:00,1535.4599999999998,90.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-07,2023-05-07 00:00:00,1985.4599999999998,163.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; gym ($33.0) ; food ($30.0) ; spotify ($10.0) ; 
2023-05-08,2023-05-08 00:00:00,1985.4599999999998,193.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-09,2023-05-09 00:00:00,1985.4599999999998,223.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-10,2023-05-10 00:00:00,1985.4599999999998,253.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-11,2023-05-11 00:00:00,1985.4599999999998,283.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-12,2023-05-12 00:00:00,1985.4599999999998,313.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-13,2023-05-13 00:00:00,1985.4599999999998,343.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-14,2023-05-14 00:00:00,2435.46,373.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-05-15,2023-05-15 00:00:00,2435.46,403.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-16,2023-05-16 00:00:00,2435.46,433.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-17,2023-05-17 00:00:00,2435.46,552.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,car insurance ($89.0) ; food ($30.0) ; 
2023-05-18,2023-05-18 00:00:00,2435.46,582.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-19,2023-05-19 00:00:00,2435.46,635.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; hbo max ($15.0) ; hulu ($8.0) ; 
2023-05-20,2023-05-20 00:00:00,2435.46,665.0,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-21,2023-05-21 00:00:00,2885.46,870.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; health insurance ($175.5) ; food ($30.0) ; 
2023-05-22,2023-05-22 00:00:00,2885.46,900.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-23,2023-05-23 00:00:00,2885.46,930.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-24,2023-05-24 00:00:00,2885.46,960.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-25,2023-05-25 00:00:00,2885.46,990.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-26,2023-05-26 00:00:00,2885.46,1020.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-27,2023-05-27 00:00:00,2885.46,1150.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,internet ($100.0) ; food ($30.0) ; 
2023-05-28,2023-05-28 00:00:00,3335.46,1180.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-05-29,2023-05-29 00:00:00,3335.46,1210.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-30,2023-05-30 00:00:00,3335.46,1240.5,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-05-31,2023-05-31 00:00:00,3335.46,1433.59,12308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,phone bill ($163.09) ; food ($30.0) ; 
2023-06-01,2023-06-01 00:00:00,1535.46,1563.59,11308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,additional cc payment ($1000.0) ; mom rent ($800.0) ; gas and bus ($100.0) ; food ($30.0) ; 
2023-06-02,2023-06-02 00:00:00,1535.46,1593.59,11308.88,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-03,2023-06-03 00:00:00,1162.27,0.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; Credit cc min payment ($373.19304) ; 
2023-06-04,2023-06-04 00:00:00,1612.27,30.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-06-05,2023-06-05 00:00:00,1612.27,60.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-06,2023-06-06 00:00:00,1612.27,90.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-07,2023-06-07 00:00:00,1612.27,163.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,gym ($33.0) ; food ($30.0) ; spotify ($10.0) ; 
2023-06-08,2023-06-08 00:00:00,1612.27,193.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-09,2023-06-09 00:00:00,1612.27,223.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-10,2023-06-10 00:00:00,1612.27,253.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-11,2023-06-11 00:00:00,2062.27,283.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-06-12,2023-06-12 00:00:00,2062.27,313.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-13,2023-06-13 00:00:00,2062.27,343.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-14,2023-06-14 00:00:00,2062.27,373.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-15,2023-06-15 00:00:00,2062.27,403.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-16,2023-06-16 00:00:00,2062.27,433.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-17,2023-06-17 00:00:00,2062.27,552.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,car insurance ($89.0) ; food ($30.0) ; 
2023-06-18,2023-06-18 00:00:00,2062.27,582.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-19,2023-06-19 00:00:00,2062.27,635.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; hbo max ($15.0) ; hulu ($8.0) ; 
2023-06-20,2023-06-20 00:00:00,2062.27,665.0,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-21,2023-06-21 00:00:00,2062.27,870.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,health insurance ($175.5) ; food ($30.0) ; 
2023-06-22,2023-06-22 00:00:00,2062.27,900.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-23,2023-06-23 00:00:00,2062.27,930.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-24,2023-06-24 00:00:00,2062.27,960.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-25,2023-06-25 00:00:00,2062.27,990.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-26,2023-06-26 00:00:00,2062.27,1020.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-27,2023-06-27 00:00:00,2062.27,1050.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-28,2023-06-28 00:00:00,2062.27,1080.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-29,2023-06-29 00:00:00,2062.27,1110.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-06-30,2023-06-30 00:00:00,2062.27,1140.5,12816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-01,2023-07-01 00:00:00,262.27,1433.59,11816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,additional cc payment ($1000.0) ; mom rent ($800.0) ; phone bill ($163.09) ; gas and bus ($100.0) ; food ($30.0) ; 
2023-07-02,2023-07-02 00:00:00,1582.27,1463.59,11816.63,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,EMT income ($1320.0) ; food ($30.0) ; 
2023-07-03,2023-07-03 00:00:00,1192.32,0.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; Credit cc min payment ($389.94879) ; 
2023-07-04,2023-07-04 00:00:00,1192.32,30.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-05,2023-07-05 00:00:00,1192.32,60.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-06,2023-07-06 00:00:00,1192.32,90.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-07,2023-07-07 00:00:00,1192.32,163.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,gym ($33.0) ; food ($30.0) ; spotify ($10.0) ; 
2023-07-08,2023-07-08 00:00:00,1192.32,193.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-09,2023-07-09 00:00:00,1192.32,223.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-10,2023-07-10 00:00:00,1192.32,253.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-11,2023-07-11 00:00:00,1192.32,283.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-12,2023-07-12 00:00:00,1192.32,313.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-13,2023-07-13 00:00:00,1192.32,343.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-14,2023-07-14 00:00:00,1192.32,373.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-15,2023-07-15 00:00:00,1192.32,403.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-16,2023-07-16 00:00:00,2512.3199999999997,433.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,EMT income ($1320.0) ; food ($30.0) ; 
2023-07-17,2023-07-17 00:00:00,2512.3199999999997,552.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,car insurance ($89.0) ; food ($30.0) ; 
2023-07-18,2023-07-18 00:00:00,2512.3199999999997,582.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-19,2023-07-19 00:00:00,2512.3199999999997,635.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; hbo max ($15.0) ; hulu ($8.0) ; 
2023-07-20,2023-07-20 00:00:00,2512.3199999999997,665.0,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-21,2023-07-21 00:00:00,2512.3199999999997,870.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,health insurance ($175.5) ; food ($30.0) ; 
2023-07-22,2023-07-22 00:00:00,2512.3199999999997,900.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-23,2023-07-23 00:00:00,2512.3199999999997,930.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-24,2023-07-24 00:00:00,2512.3199999999997,960.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-25,2023-07-25 00:00:00,2512.3199999999997,990.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-26,2023-07-26 00:00:00,2512.3199999999997,1020.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-27,2023-07-27 00:00:00,2512.3199999999997,1050.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-28,2023-07-28 00:00:00,2512.3199999999997,1080.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-29,2023-07-29 00:00:00,2512.3199999999997,1110.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-30,2023-07-30 00:00:00,3832.3199999999997,1140.5,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,EMT income ($1320.0) ; food ($30.0) ; 
2023-07-31,2023-07-31 00:00:00,3832.3199999999997,1333.59,13189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,phone bill ($163.09) ; food ($30.0) ; 
2023-08-01,2023-08-01 00:00:00,2032.3199999999997,1463.59,12189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,additional cc payment ($1000.0) ; mom rent ($800.0) ; gas and bus ($100.0) ; food ($30.0) ; 
2023-08-02,2023-08-02 00:00:00,2032.3199999999997,1493.59,12189.18,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-03,2023-08-03 00:00:00,1630.0799999999997,0.0,13587.92,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; Credit cc min payment ($402.24294000000003) ; 
